"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J31";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
2;"C41,C37";"C_0402_1005Metric";2;"3.9p*";;;
3;"C34,C32,C31,C24,C35,C22,C42,C33,C25,C36,C23,C21";"C_0402_1005Metric";12;"100n";;;
4;"R22,R21";"R_0402_1005Metric";2;"47k";;;
5;"R52";"R_0402_1005Metric";1;"100k";;;
6;"L34,L31,L33";"L_0402_1005Metric";3;"27n+";;;
7;"R31";"R_0402_1005Metric";1;"56k";;;
8;"S51,S52";"button_small";2;"button_small";;;
9;"J53";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
10;"U31";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias";1;"CC1101RGPR";;;
11;"Y31";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"26Mhz";;;
12;"L32";"L_0402_1005Metric";1;"22n+";;;
13;"C38,C43";"C_0402_1005Metric";2;"220p*";;;
14;"J52";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Pin";;;
15;"R61";"R_0402_1005Metric";1;"820";;;
16;"C45,C44";"C_0402_1005Metric";2;"27p NP0";;;
17;"R62";"R_0402_1005Metric";1;"1k2";;;
18;"U21";"LQFP-48_7x7mm_P0.5mm";1;"STM32L051C8Tx";;;
19;"D61";"LED_0805_2012Metric";1;"RED";;;
20;"D62";"LED_0805_2012Metric";1;"GREEN";;;
21;"C40";"C_0402_1005Metric";1;"5.6p*";;;
22;"C39";"C_0402_1005Metric";1;"8.2p*";;;
23;"R51";"R_0402_1005Metric";1;"10k";;;
24;"C51";"C_0402_1005Metric";1;"10n";;;
